"log10popdens","logpartyratio","County","State","FIPS"
1.55453057639686,-1.12015690523107,"Autauga County","Alabama",1001
1.70364815760958,-1.37460151728421,"Baldwin County","Alabama",1003
1.05107458217787,-0.113557030736345,"Barbour County","Alabama",1005
1.14529320227099,-1.27894562690406,"Bibb County","Alabama",1007
1.53801815043206,-2.36164350958261,"Blount County","Alabama",1009
0.807373967631244,1.13114718531914,"Bullock County","Alabama",1011
0.997944002265328,-0.274748960101968,"Butler County","Alabama",1013
1.86539234995222,-0.910530442966563,"Calhoun County","Alabama",1015
1.34029809754577,-0.30305010243008,"Chambers County","Alabama",1017
1.25607588916976,-1.75443546641914,"Cherokee County","Alabama",1019
1.38882328881701,-1.64476390902984,"Chilton County","Alabama",1021
0.742450850494789,-0.277173528174072,"Choctaw County","Alabama",1023
0.88099251057647,-0.218792361206026,"Clarke County","Alabama",1025
0.932084518500706,-1.44415035338792,"Clay County","Alabama",1027
1.01272563927561,-2.12690807955119,"Cleburne County","Alabama",1029
1.46485711005873,-1.32793603599094,"Coffee County","Alabama",1031
1.55019103858294,-0.829159729549165,"Colbert County","Alabama",1033
0.754577287012715,-0.106239893764131,"Conecuh County","Alabama",1035
0.808810687580369,-0.640078213476181,"Coosa County","Alabama",1037
1.14593266655696,-1.71520188043131,"Covington County","Alabama",1039
0.944101179579543,-0.997895657291227,"Crenshaw County","Alabama",1041
1.63601297828413,-2.17200606035184,"Cullman County","Alabama",1043
1.53011161960374,-1.14110258195864,"Dale County","Alabama",1045
1.19841055157553,0.796378874348794,"Dallas County","Alabama",1047
1.54870602230289,-1.77749011792998,"DeKalb County","Alabama",1049
1.70502029594817,-1.18599568030925,"Elmore County","Alabama",1051
1.18320288540576,-0.783257908334476,"Escambia County","Alabama",1053
1.8706996639773,-1.13286589988885,"Etowah County","Alabama",1055
1.00867686267304,-1.59684048595261,"Fayette County","Alabama",1057
1.28355802325176,-1.46061363873748,"Franklin County","Alabama",1059
1.25052529009798,-1.87925437767255,"Geneva County","Alabama",1061
0.701403917762481,1.56453041391882,"Greene County","Alabama",1063
0.950635327855668,0.408403200073596,"Hale County","Alabama",1065
1.0707641290002,-0.900061763688594,"Henry County","Alabama",1067
1.84187289004283,-1.06407953542073,"Houston County","Alabama",1069
1.2708763274596,-1.51370722479051,"Jackson County","Alabama",1071
2.36031187925046,0.148873726490064,"Jefferson County","Alabama",1073
0.949101862969351,-1.72672700006889,"Lamar County","Alabama",1075
1.72845785703013,-1.03248633055073,"Lauderdale County","Alabama",1077
1.26818118013049,-1.08924519221738,"Lawrence County","Alabama",1079
2.00530007465273,-0.491854212284416,"Lee County","Alabama",1081
1.80727448743229,-1.12690211928024,"Limestone County","Alabama",1083
0.741973377692422,1.02536791853819,"Lowndes County","Alabama",1085
1.08219420382459,1.64702944227184,"Macon County","Alabama",1087
2.23610249755149,-0.356743813929176,"Madison County","Alabama",1089
0.887735511805435,0.0707524258622387,"Marengo County","Alabama",1091
1.19271256735093,-2.06333841691525,"Marion County","Alabama",1093
1.81239070621553,-1.7828659754575,"Marshall County","Alabama",1095
2.11471080345212,-0.286018383133687,"Mobile County","Alabama",1097
0.908375928956202,-0.291907472767907,"Monroe County","Alabama",1099
2.04757941834915,0.54767084690745,"Montgomery County","Alabama",1101
1.89972329852324,-1.20411544634088,"Morgan County","Alabama",1103
0.706660367285566,1.00242265289638,"Perry County","Alabama",1105
0.94896753250246,-0.317079536917823,"Pickens County","Alabama",1107
1.28307463843435,-0.421542097488701,"Pike County","Alabama",1109
1.17647160101903,-1.21227882654466,"Randolph County","Alabama",1111
1.54476080247228,0.03907454086194,"Russell County","Alabama",1113
1.72730195503499,-1.73869441217603,"St. Clair County","Alabama",1115
2.01644429894662,-1.15603237104103,"Shelby County","Alabama",1117
0.744059293618081,1.0977685849526,"Sumter County","Alabama",1119
1.62550956109968,-0.531230490397297,"Talladega County","Alabama",1121
1.34038379448514,-0.900187571713239,"Tallapoosa County","Alabama",1123
1.78016179780047,-0.407185628539597,"Tuscaloosa County","Alabama",1125
1.49803716279277,-1.68572172429621,"Walker County","Alabama",1127
0.774427309772877,-0.935712069329835,"Washington County","Alabama",1129
0.671854727283498,0.913177080879893,"Wilcox County","Alabama",1131
1.17719984983959,-2.36003049772298,"Winston County","Alabama",1133
-0.722808128873055,-0.571194563852365,"Aleutians East Borough","Alaska",2013
-0.296303065875269,0.550668664477222,"Aleutians West Census Area","Alaska",2016
1.82607669466496,-0.117099505022159,"Anchorage Municipality","Alaska",2020
-0.765898154809367,0.900434945411409,"Bethel Census Area","Alaska",2050
-0.146937315615146,-0.676239045233252,"Bristol Bay Borough","Alaska",2060
-1.16624620533656,-0.399269229780946,"Denali Borough","Alaska",2068
-0.979699547703912,0.407346745341399,"Dillingham Census Area","Alaska",2070
0.720117194074214,-0.488752040195537,"Fairbanks North Star Borough","Alaska",2090
-0.381382049706038,0.0927626672576467,"Haines Borough","Alaska",2100
-0.901190550655887,0.509570288365555,"Hoonah-Angoon Census Area","Alaska",2105
0.664323205643264,0.428730653206959,"Juneau City and Borough","Alaska",2110
0.147022166699714,-0.886689721104832,"Kenai Peninsula Borough","Alaska",2122
0.0403504173972109,-0.56257199362635,"Ketchikan Gateway Borough","Alaska",2130
-0.098750836577842,-0.429092598456682,"Kodiak Island Borough","Alaska",2150
-0.731922871610963,1.09843550682903,"Kusilvak Census Area","Alaska",2158
-1.65334560851117,0.104120139432726,"Lake and Peninsula Borough","Alaska",2164
0.208552146791703,-1.31040393720711,"Matanuska-Susitna Borough","Alaska",2170
